UID,Name,CID,Source
18,Diana Prince “Wonder Woman”,52,"['DC Extended Universe','The Flash (2023)']"
18,"Diana Prince ""Wonder Woman""",53,"['DC Animated Universe (Timmverse/Deniverse)','Justice League (2001)']"
18,"Diana Prince ""Wonder Woman""",54,"['DC Comics','Mainstream Universe 2011-present']"
19,Barry Allen “The Flash”,55,"['DC Extended Universe', 'The Flash (2023)']"
19,"Barry Allen ""The Flash""",56,"['Arrowverse','earth1','The Flash (2014)']"
19,Barry Allen (Earth-2),57,"['Arrowverse','earth2','The Flash (2014)']"
20,Arthur Curry “Aquaman”,58,"['DC Extended Universe', 'The Flash (2023)']"
20,Arthur Curry “Aquaman”,59,"['DC Comics','Mainstream Universe 2011-present']"
20,"Arthur Curry ""Aquaman""",60,"['animated television series ','Batman: The Brave and the Bold (2008)']"
21,"Victor Stone ""Cyborg""",61,"['DC Comics','Mainstream Universe 2011-present']"
21,"Victor Stone ""Cyborg""",62,"['DC Extended Universe','The Flash (2023)']"
21,"Victor Stone ""Cyborg""",63,"['DC Animated Universe','Teen Titans (2003)']"
22,"Hal Jordan ""Green Lantern""",64,"['DC Comics','Mainstream Universe 2011-present']"
22,"Hal Jordan ""Green Lantern""",65,"['DC Extended Universe','Green Lantern(2011)']"
22,"Hal Jordan ""Green Lantern""",66,"['DC Animated Universe (Timmverse/Deniverse)','Justice League (2001)']"
23,"Oliver Queen ""Green Arrow""",67,"['DC Animated Universe (Timmverse/Deniverse)','Justice League (2001)']"
23,"Oliver Queen ""Green Arrow""",68,"['Arrowverse','Arrow season 8 (2020)']"
23,"Oliver Queen ""Green Arrow""",69,"['DC Comics','Mainstream Universe 2011-present']"
24,"J'onn J'onzz ""Martian Manhunter""",70,"[ 'DC Animated Universe (Timmverse/Deniverse)','Justice League (2001)']"
24,"J'onn J'onzz ""Martian Manhunter""",71,"['Arrowverse','earth38','Supergirl (2015)']"
24,J’onn J’onnz “Martian Manhunter”,72,"['DC Comics', 'Mainstream Universe 1986-2011']"
25,"Kent Nelson ""Doctor Fate""",73,"['DC Extended Universe', 'Black Adam (2022)']"
25,"Kent Nelson ""Doctor Fate""",74,"[ 'DC Animated Universe (Timmverse/Deniverse)','Justice League (2001)']"
25,"Kent Nelson ""Doctor Fate""",75,"['DC Comics','Mainstream Universe 1930s-2011']"
26,"Kara Zor-El ""Supergirl""",76,"['DC Comics','Mainstream Universe 2011-present']"
26,"Kara Zor-El ""Supergirl""",77,"['DC Extended Universe', 'The Flash (2023)']"
26,"Kara Zor-El ""Supergirl""",78,"['Arrowverse','earth38','Supergirl (2015)']"
27,John Constantine,79,"['DC Comics','Mainstream Universe 2011-present']"
27,John Constantine,80,"['Constantine (2014)']"
27,John Constantine,81,"['DC Animated Universe (Timmverse/Deniverse)','Constantine: City of Demons (2018)']"
28,"Jaime Reyes  ""Blue Beetle""",82,"['DC Comics','Mainstream Universe 1986-2011']"
28,"Jaime Reyes  ""Blue Beetle""",83,"['DC Extended Universe','Blue Beetle (2023)']"
28,"Jaime Reyes  ""Blue Beetle""",84,"[''DC Animated Universe','Young Justice (2010)']"
29,"Barbara Gordon ""Batgirl""",85,"['DC Comics','Mainstream Universe 2011-present']"
29,"Barbara Gordon ""Batgirl""",86,['Harley Quinn (2019)']
29,"Barbara Gordon ""Batgirl""",87,"['DC Animated Universe','Batman: The Animated Series (1992)']"
30," Koriand'r ""Starfire""",88,"['Teen Titans (2003)']"
30," Koriand'r ""Starfire""",89,"['DC Comics','Mainstream Universe 1950s-2011']"
30," Koriand'r ""Starfire""",90,['Teen Titans Go!(2013)']
